component_name   version      exec_md5                         zip_md5
terraform:       1.6.2        d490b06f6b53b7a9350f590a7728b7e3 3af6bb553ad887a7e59989705bdeaa46
tofu:            1.6.0-beta2  0f886a46eadc46712666fd211e470fd0 fdbe4ac21e057be170173afead0fa14e
alicloud_tf:     1.203.0      6091b17f8454fb6eb58c265938f0852f a8994ffac784d05f1d4bb45af65371ba
tencentcloud_tf: 1.80.5       98e1a2b414fa3d38a9af20950deba844 13c2632876e3cbd02687d777e30a4708
aws_tf:          4.64.0       aa46b5649535029d96fe6ada7fff1a20 1f01e3b61fa0d4a5e3514a775e27a826
huaweicloud_tf:  1.53.0       0365e93f2abf1dd37cacb2f46660e398 05c0fcfff04ce8291bb4b58b336020a9
baidubce_tf:     1.19.18      eff3b044b85178322055376c25d12249 7d2f1f17904ce752bd7728ace8f2cd5a
azurerm_tf:      3.70.0       f0ac9b9dcde0b8d601628b3e060e202a f621038e361a512c261ca19f7408a712
azuread_tf:      2.41.0       4eae3633345982d7d49b2ef0395ed26f 9c39b1d2c08f2cec27348283d9bb11db
gcp_tf:          4.84.0       6bf01f7552fd86b9e3365f515ea95869 b79564a61186e85152e5bbae11263603
