component_name   version      exec_md5                         zip_md5
terraform:       1.6.2        b401c8f584cae9790d785d0145a70725 17de5ca5346d4ec4b210ea2a0949a176
tofu:            1.6.0-beta2  170f0c6786f73d8e3b8030c9e2d68ac3 3a3e8c4c0b7ce2f075e379261d0f340f
alicloud_tf:     1.203.0      39e1e304e49741e51fe5e532344dc8fb b879dc55dae4357c1ed5f01e4ebad938
tencentcloud_tf: 1.80.5       b25261bdab8428efb82a4919b4b64d01 6339f71caae10f0190e1eee9a64ef2df
aws_tf:          4.64.0       8da674e9f24e82aecb27bde4448676ba b7287e8c02fd21755d4ff66c87afec86
huaweicloud_tf:  1.53.0       116d6c044f2acfcbc38f070b6cab7c91 dfc27c9d87d523adc554f3403ff9313f
baidubce_tf:     1.19.18      c7d8a161334e574731292e0d9a0e4c1f 426abdd8d0b6adc12bcc9b7ab30d8299
azurerm_tf:      3.70.0       e3d0bd8dac982bdd3d630d7fe553d18a aeeeebe57462ff1fc774b270ecb9334c
azuread_tf:      2.41.0       f170f092b011de92da9b292e68618819 ca61e7aa5996f6362e7a4ad58e6e1f09
gcp_tf:          4.84.0       8dc3c8346f0dc5ab6ae54bf73e887f05 6165a6fb2ead2a0f5b0a45e239e976b7
