component_name   version      exec_sha                                                          zip_sha
terraform:       1.5.7        1ed224ce22941b1a7bc4f291cdafff44c039aaa9aaaac836d1f215fac6d21dc5  b310ec0e626e9799000cfc8e30247cd827cf7f8030c8e0400257c7f111e93537
tofu:            1.6.0-beta2  cbaf29e6dec24cbc054466d931351d2239a005a1316830ea813de3514cdac213  deb4acac848bcc1cbd232671dcada82475e6113c3ca40c07b641ab37c950ab2e
alicloud_tf:     1.203.0      41c05e060384d90861188da9cf295e79a8c9b9daf76a2589c4ff38ff59a1104f  c006783ff5d6fbf6ef0309d92ff3918a4770916c5676c90ded90f29e43905799
tencentcloud_tf: 1.80.5       129d9b78c2dca282f8c8428149d5f4688fd790218e6c34fb91913b0a14020b6d  2437a720a4a11b321e8be4378ce9af7ff18947dff6ca4b7b94f13ceb11141e7b
aws_tf:          4.64.0       543c7cb2c2738ccd4542b7dadba8b377f367480f214cc29a6cf8b74530f7c56f  9d0a45cd4a031d19ee14c0a15f25df6359dcd342ccf4e2ee4751b3ee496edb57
huaweicloud_tf:  1.53.0       8aa1fb83ccb9526e815deefe29c7e6945b523a2f1f70e7ec7f13666d9463ccbe  9f94747773a8430bee9b45095ffccb333762ec1cc19c127cd74ad3d399ff66b3
baidubce_tf:     1.19.18      95415bf8cace172f7cb59b986e92915b8c7128a2f49f26ead28942bd475c7815  1ba8ede7b4eb5bc4215976f7c891d62639ff41cb88667743a0f1ca7dc102c9f9
azurerm_tf:      3.70.0       fd14a64870f29fe16dea8db9bb749d4503ad6e0ea26994e59f3579e1c7ed41fd  a6d907e78f78dc944c941d9853836b08f1402727026f9b9183a33f4302e39e1b
azuread_tf:      2.41.0       7be2ec52ef0749a0ab02d2280aa529c45dcf892b748515d31df3d011870bac93  32032e1539da9c986adea46a4fc702b8e3dea287ac825fdbc57ce459e6cfd25b
gcp_tf:          4.84.0       238c67cd472e2c35c85fcab4b0d4147d09d9380cbc189d9e59eeb7565d7ee7e3  29bff92b4375a35a7729248b3bc5db8991ca1b9ba640fc25b13700e12f99c195
volce_tf:        0.0.146      75ffdd816863cf22978b764cc252d4b4312797b12c5600e15d56cc151b2eecba  35ab3101b393fa279c3812f97545246970b7594ce3aa11c908cd7e215ecaa085
