component_name   version      exec_sha                                                          zip_sha
terraform:       1.6.2        5f2fb98ed5d3bcec450ad2bb4227533b79ba3c8a2bd17a03a710535682ba1a6d  107142241b12ff78b6eb9c419757d406a8714704f7928750a662ba19de055e98
tofu:            1.6.0-beta2  4f1c592e0607e491a733672e079a14c30b1ed8437627d08319ad4f47073667b0  255055c8ae5760448e13e6ef9ff7bbccabeb4e5662faa770ca042d2988f21a18
alicloud_tf:     1.203.0      ffdf04d159dd541367996124bc3f5067cf14409d4108202d5270121c50eb2a58  ffdf04d159dd541367996124bc3f5067cf14409d4108202d5270121c50eb2a58
tencentcloud_tf: 1.80.5       ee1c7ceabafbefcadc9272d9e43ab22f73da88c2b95026a269f9da486c8e115b  cae517018536749e3ff2fd49f42ff740796ac119b526b780ebaffee35c7b0d88
aws_tf:          4.64.0       ab327069b7799d079bf9148877a0588438baa97ce0a2d10ed1680bda2b4fb859  9c62bc4a9034a6caf15b8863da6f5a621b947d5fca161b4bd2f2e8e78eec8e3b
huaweicloud_tf:  1.53.0       120cf711df2a014b52782680de35e6774fae9d0c8164f10491d4d4f9dc371b90  65ba55d5048a4906cc8e91fd4e7e700f70b6e954e6d762dd41e5f5634d5065cc
baidubce_tf:     1.19.18      94004f83cd3d9df422421c16920e358bfa3f4b5e2cac6f4d32ba065fed6560f3  abb42ab26318fcdd8c526f5d085f60e7e244d862ad551e1dd38b40d8ee8f2e28
azurerm_tf:      3.70.0       cc6d2a619f638506d91e62561a010b42ac4b4a53791b958906f1a5c2995fd2ea  887c0e35e79fdb4a6740c232c683adc5344067f0297c28646d6f811b33501c6c
azuread_tf:      2.41.0       ff8663facb333f1e640de057f26fc910ea804d3346d1031c337f0386964afbe5  b9a8b9554f8ba9d306427aa8b2c0894242286972a61ab33300d6d8ac57bf93ab
gcp_tf:          4.84.0       a9f6b8941ee64c3f6af5659710954c3b59171f885fc7a77b2f6e0af1074d17a7  1d47d00730fab764bddb6d548fed7e124739b0bcebb9f3b3c6aa247de55fb804
