component_name   version      exec_sha                                                          zip_sha
terraform:       1.5.7        a54f09697d3ab28d62c5a302bc305dd494f64695e39e4bd72aaad7ffc7f8ed99  0cf9f41ba11b46f1fb6251952df98bf9c37ec294f26be7091b4909850659b592
tofu:            1.6.0-beta2  4871c5071b6add54d19ad9cf73019b292bf48395a24f334bf67e42f1f48795a6  9e3422bf6c8a6064fec342de743aae1dea26294e9339e3388eb87061593244ab
alicloud_tf:     1.203.0      033375ff1e3aa000ea3d8852a2770f235da0441c105c041286d23d6fd5d88190  d8bfbef8b8d63e435ea36f644eaeec7264cb7eacf5ee977503741b01d8d645f0
tencentcloud_tf: 1.80.5       454c1b70155ffcdf6da71ddee4bd496e34554682ac79c636ff02bd73d0416855  08b940243762befb8de2cdd6e25ff8e1b433d23271e67f389f33964cb7170730
aws_tf:          4.64.0       12035445ed1989f76ecad2fb1258136d41c0f7416cb1f8aa9ce6a43b69a283a7  b55119290497dda96ab9ba3dca00d648808dc99d18960ad8aa875775bfaf95db
huaweicloud_tf:  1.53.0       243cfe46054d75d42dd2199add41f25180e88d0ee687ce2004ffb58f9f1ccc2b  0d1460509411b4c6166f6adeb961bed7481a290f2c38feef619037b24efe01ec
baidubce_tf:     1.19.18      b0b2e3381534540d415ceea4e67327f5af2d5afcfedfa438440b1d22cd885cc1  737df0c70d2e08085c28a426ae343e2e826858bbddc174984c8d4d9f8dc73091
azurerm_tf:      3.70.0       fc7b6ebe943b572679761844eb18e4261539d3b6bdffd0025d210d5b3a002b01  ba89168e9ca8144c84503071fe0498cced288965314cba40962a6b71cfcd5a4b
azuread_tf:      2.41.0       01bb40f7ca48b8f6f43fc831c058415eaadf3eecc24091a4dcdb7399f07b4359  ce7a79964a68a6086fa97e1f38d1c015d24d0732dd7876e179704c383a79f9aa
gcp_tf:          4.84.0       5edd287b4481023f83893b8bb7e9c75394364606c35ed6845859672fe10c897c  78afa20e25a690d076eeaafd7879993ef9763a8a1b6762e2cbe42330464cc1fa
volce_tf:        0.0.146      861ffd7ef87547bab1f7b72753e821bea4ec6a4be42ef4a93d27d398ab288ffc  c7012352ad0bcd6cf1d9cff4ab1c8366548b17b05df8699be25b265a4be882c4
