component_name   version      exec_md5                         zip_md5
terraform:       1.6.2        d101cdf13fce15adb36b4830303ec63a 16f0c2bfdb561b07eb1d848116187f7a
tofu:            1.6.0-beta1  fa3aea9babc035ec9f349a857a3cd85a cf0fbf6135db3889f909ea18dda2504d
alicloud_tf:     1.203.0      88f0da5ec9687a0c0935bb7f0e3306a4 b50080f0c3b76ae5f376eb3734ae110b
tencentcloud_tf: 1.80.5       5a1b40aa8343d3618277031633e3194f 8840d19efbdd4e56ec12cc71e1ae4945
aws_tf:          4.64.0       ca30654989fe33ad84ecd8e13ef4a563 4044f73b071c681d88e793dd15617b5a
huaweicloud_tf:  1.53.0       c244930e402e33b043a816798f859ff6 ada86271c2f3ef09c0890f93e52ed659
baidubce_tf:     1.19.18      3ff20079854f3377bd185a073b907d19 09f6a12cec5c79cc4add7adde12f2d09
azurerm_tf:      3.70.0       98d08776b9dab3aeff0ef421f334d733 b7ac198f1965f5a1a340b9277c8c45d4
azuread_tf:      2.41.0       33ff3dbe7a2938f548e0015415e9c70d 2112657f496488dddc6a82b03b78f6a0
gcp_tf:          4.84.0       9b07ab09b93fab239186bc96fe3614fe e23b993a10e1fefafde3ea42d7d58477
